titulo,autor,tema,mes
Serie 'Olimpiadas' conheca arte marcial que pela primeira vez estara nos Jogos Olimpicos,Maria Clara,jogos olimpicos,6
'A ficha esta caindo agora' diz mae do zagueiro Nino sobre estreia dele na Selecao Brasileira nas Olimpiadas de Toquio,Tiago Calisto,jogos olimpicos,1
Atletas de regiao disputam Jogos Olimpicos de Toquio,Francisco Jose,jogos olimpicos,1
Brasil sofre primeira baixa por doping antes mesmo da abertura dos Jogos Olimpicos,Hugo Sousa,jogos olimpicos,6
Rayssa Leal conquista prata no skate e se torna a medalhista olimpica mais jovem do Brasil,Sebastiao Silva,jogos olimpicos,1
Mane Garrincha em Brasilia pode receber ate 18 mil torcedores em jogo do Flamengo na Libertadores,Douglas Santos,libertadores,4
Inter perde jogo contra o Olimpia e e eliminado da Libertadores,Miguel Angelo,libertadores,6
Libertadores Universidad Catolica vence o Palmeiras,Sasha Ferreira,libertadores,1
Covid-19 apos vacinar 135 mil pessoas em mutirao DF inicia semana apenas com segunda dose,Miguel Angelo,saude publica,1
Palmeiras e Flamengo vencem e avancam na Libertadores,Teodora Alves,libertadores,4
Olimpia elimina Inter nos penaltis e pega o Flamengo nas quartas da Libertadores,Miguel Angelo,libertadores,6
Inter enfrenta o Olimpia pela Libertadores nesta quinta (22),Douglas Santos,libertadores,2
Flamengo e Palmeiras avancam para as quartas de final da Libertadores,Maria Clara,libertadores,6
Atletico-MG garante vaga na Libertadores contra o Boca Juniors,Pedro Henrique,libertadores,1
Flamengo volta a jogar bem goleira e se classifica na Libertadores,Maria Clara,libertadores,5
Apos empate em casa Sao Paulo decide vaga nas oitavas da Libertadores na Argentina,Pedro Henrique,libertadores,5
Apos empate em casa Sao Paulo decide vaga nas oitavas da Libertadores na Argentina,Maria Clara,libertadores,6
Apos empate em casa Sao Paulo decide vaga nas oitavas da Libertadores na Argentina,Douglas Santos,libertadores,4
Rio prorroga restricoes ate 9 de agosto e anuncia que 90% dos idosos ja foram totalmente imunizados,Tiago Calisto,libertadores,2
Veja onde as escolas estaduais estao abertas no pais,Thales Peres,saude publica,2
Flamengo e Palmeiras vencem na Libertadores,Sebastiao Silva,libertadores,6
Justica analisa pedido para impedir entrada de publico em jogo da Libertadores no DF,Francisco Jose,libertadores,2
Flamengo joga mal mas vence na Libertadores,Sebastiao Silva,libertadores,2
Inter ja esta a seis jogos sem vencer na Libertadores,Hugo Sousa,libertadores,5
Aguirre volta a comandar o Inter na Libertadores,Douglas Santos,libertadores,4
Apos vitoria Fluminense se aproxima das quartas de final da Libertadores,Thales Peres,libertadores,3
Apos vitoria Fluminense se aproxima das quartas de final da Libertadores,Tiago Calisto,libertadores,7
Apos vitoria Fluminense se aproxima das quartas de final da Libertadores,Miguel Angelo,libertadores,7
Em estreia de Renato Gaucho como tecnico Flamengo vence partida pela Libertadores,Thales Peres,libertadores,7
Em estreia de Renato Gaucho como tecnico Flamengo vence partida pela Libertadores,Tiago Calisto,libertadores,4
Como tratar cancer de ovario na rede publica de saude? Medica explica,Sasha Ferreira,saude publica,5
Weverton tem atuacao de gala e Palmeiras vence 1o jogo das oitavas da Libertadores,Pedro Henrique,libertadores,1
Weverton tem atuacao de gala e Palmeiras vence 1o jogo das oitavas da Libertadores,Joao Paulo Araujo,libertadores,7
Em estreia de Renato Gaucho como tecnico Flamengo vence partida pela Libertadores,Douglas Santos,libertadores,3
Weverton tem atuacao de gala e Palmeiras vence 1o jogo das oitavas da Libertadores,Sasha Ferreira,libertadores,3
Fluminense enfrenta o Cerro Porteno pelas oitavas de final da Libertadores,Douglas Santos,libertadores,5
Pela Copa Libertadores o Fluminense derrotou o Cerro Porteno fora de casa,Douglas Santos,libertadores,1
Torcedores do Atletico-MG sao presos suspeitos de soltar fogos perto de hotel do Boca Juniors,Douglas Santos,libertadores,3
Sao Paulo e Palmeiras se preparam para as oitavas de final da Libertadores,Francisco Jose,libertadores,7
Sao Paulo e Palmeiras se preparam para as oitavas de final da Libertadores,Joao Paulo Araujo,libertadores,5
Sao Paulo e Palmeiras se preparam para as oitavas de final da Libertadores,Sasha Ferreira,libertadores,1
Senador Rogerio Carvalho 'Ja temos mais que o suficiente para provar crime de saude publica cometido pelo presidente',Hugo Sousa,saude publica,7
Apos vitoria no Brasileiro Fluminense vira a chave e estreia no mata-mata da Libertadores,Douglas Santos,libertadores,2
Filho de Arce tecnico do Cerro Porteno morre apos acidente no Paraguai,Tiago Calisto,libertadores,2
Governo do DF libera publico em competicoes esportivas profissionais e amadoras; veja regras,Hugo Sousa,libertadores,1
David Dushman ultimo sobrevivente dos libertadores de Auschwitz morre aos 98 anos,Maria Clara,libertadores,5
Gols da Libertadores,Miguel Angelo,libertadores,7
Santos perde e e eliminado da Libertadores,Sasha Ferreira,libertadores,5
Santos perde e e eliminado da Libertadores,Miguel Angelo,libertadores,5
Santos perde e e eliminado da Libertadores,Francisco Jose,libertadores,7
Santos e eliminado da Copa Libertadores,Maria Clara,libertadores,2
Aguirre encara serie com 5 jogos fora Gre-Nal e Libertadores em arrancada pelo Inter,Hugo Sousa,libertadores,5
Apenas 03% dos profissionais da educacao estao totalmente imunizados contra a Covid-19 em Fortaleza,Hugo Sousa,educacao,7
Gabigol aceita pagar R$ 110 mil para nao ser processado por crime contra a saude publica apos ser flagrado em cassino ilegal em SP,Joao Paulo Araujo,saude publica,5
Brasileiros perdem na Libertadores,Sasha Ferreira,libertadores,6
Palmeiras goleia o Universitario pela Libertadores,Pedro Henrique,libertadores,1
Fluminense avanca para as oitavas da Libertadores,Pedro Henrique,libertadores,5
Fluminense tropeca em casa pela Libertadores,Joao Paulo Araujo,libertadores,6
Noite ruim para os brasileiros na Libertadores,Teodora Alves,libertadores,4
Veja os gols da rodada na Libertadores,Hugo Sousa,libertadores,3
Palmeiras vence e se classifica na Libertadores,Joao Paulo Araujo,libertadores,3
Veja os gols da rodada na Libertadores e Sul-Americana,Miguel Angelo,libertadores,2
Flamengo busca lideranca do grupo da Libertadores contra o Velez,Sebastiao Silva,libertadores,4
Atletico vence mais uma na Copa Libertadores da America,Joao Paulo Araujo,libertadores,2
Fila na rede publica de saude de Taubate aumenta 30% durante a pandemia,Joao Paulo Araujo,saude publica,6
Veja os gols da rodada na Sul-Americana e Libertadores,Pedro Henrique,libertadores,2
Renzo Saravia fala sobre calendario colorado na Copa do Brasil e Libertadores,Sasha Ferreira,libertadores,6
Copa America Copa do Brasil Libertadores e ultimos detalhes dos times cariocas,Tiago Calisto,libertadores,1
Flu da show na Libertadores e se classifica para a proxima fase,Tiago Calisto,libertadores,2
Libertadores e Copa Sul-Americana confira os confrontos das oitavas de final,Pedro Henrique,libertadores,6
Fluminense esta perto de vaga nas oitavas da Libertadores,Hugo Sousa,libertadores,2
Sao Paulo entra em campo pela Libertadores nesta terca-feira,Sasha Ferreira,libertadores,5
Palmeiras e Santos vencem pela Libertadores,Maria Clara,libertadores,3
Internacional inicia preparacao para enfrentar o Always Ready na Libertadores,Douglas Santos,libertadores,6
Libertadores Palmeiras vence na estreia,Hugo Sousa,libertadores,7
Pacientes aguardam ha meses por cirurgias cardiacas na rede publica de saude,Sebastiao Silva,saude publica,4
Palmeiras vence de goleada o Universitario e conclui 1a fase da Libertadores,Hugo Sousa,libertadores,5
Palmeiras goleia e Flamengo empata pela fase de grupos da Copa Libertadores,Maria Clara,libertadores,7
Palmeiras goleia e Flamengo empata pela fase de grupos da Copa Libertadores,Sebastiao Silva,libertadores,3
Palmeiras goleia e Flamengo empata pela fase de grupos da Copa Libertadores,Douglas Santos,libertadores,1
O Flamengo garantiu vaga nas oitavas de final da Taca Libertadores,Maria Julia,libertadores,7
Fluminense estreia com empate na Libertadores,Pedro Henrique,libertadores,1
Palmeiras estreia com vitoria na Libertadores,Sebastiao Silva,libertadores,2
Sao Paulo vence mais uma na Libertadores,Maria Clara,libertadores,2
Palmeiras estreia com vitoria na Libertadores,Maria Clara,libertadores,5
Atletico-MG garante 1o lugar geral na fase de grupos da Libertadores,Sebastiao Silva,libertadores,3
Governo da PB prorroga prazo do Decreto de Calamidade na saude publica do estado,Sebastiao Silva,saude publica,7
Fluminense passa pelo Santa Fe na Libertadores,Tiago Calisto,libertadores,5
Sao Paulo empata e Fluminense vence de virada na Libertadores,Tiago Calisto,libertadores,7
Flamengo estreia com vitoria na Libertadores,Douglas Santos,libertadores,5
Atletico goleia La Guaira e termina em alta a primeira fase da Libertadores,Maria Clara,libertadores,3
Sao Paulo entra em campo pela Libertadores da America,Joao Paulo Araujo,libertadores,5
Atletico-MG vence e Flamengo empata na Libertadores; veja gols,Maria Julia,libertadores,1
Com reservas em campo Sao Paulo bate o Sporting Cristal pela Libertadores,Francisco Jose,libertadores,5
Com reservas em campo Sao Paulo bate o Sporting Cristal pela Libertadores,Hugo Sousa,libertadores,2
Com reservas em campo Sao Paulo bate o Sporting Cristal pela Libertadores,Sasha Ferreira,libertadores,1
Flamengo vence na estreia de Renato Gaucho,Thales Peres,libertadores,7
RS declara emergencia em saude publica devido a circulacao do virus da febre amarela,Thales Peres,saude publica,2
Palmeiras e Santos jogam pela fase de grupos da Libertadores,Joao Paulo Araujo,libertadores,5
Conheca a historia de um torcedor apaixonado; Times brasileiros entram em campo pela Libertadores,Teodora Alves,libertadores,3
Santos tem jogo decisivo na Libertadores e Corinthians apresenta novo treinador,Miguel Angelo,libertadores,4
Santos tem jogo decisivo na Libertadores e Corinthians apresenta novo treinador,Miguel Angelo,libertadores,7
Palmeiras e Santos jogam pela fase de grupos da Libertadores,Pedro Henrique,libertadores,3
Atletico-MG enfrenta Cerro Porteno pela Libertadores,Pedro Henrique,libertadores,6
Santos busca classificacao na Libertadores e Corinthians procura novo tecnico,Hugo Sousa,libertadores,4
Santos busca classificacao na Libertadores e Corinthians procura novo tecnico,Joao Paulo Araujo,libertadores,1
Santos busca classificacao na Libertadores e Corinthians procura novo tecnico,Thales Peres,libertadores,3
Atletico-MG se classifica na Libertadores em jogo marcado por protestos,Douglas Santos,libertadores,3
Fiscalizacao flagra festas clandestinas com mais de 200 pessoas em Jacarei,Maria Julia,saude publica,3
